Date,Team,Relinquished,Notes
2015-05-31,Brewers,• Khris Davis,placed on 15-day DL with torn meniscus in right knee
2015-05-31,Dodgers,• Steven Rodriguez (F.) / Paco Rodriguez,placed on 15-day DL with strained left elbow
2015-05-31,Rays,• Tim Beckham,placed on 15-day DL with strained right hamstring
2015-06-01,Dodgers,• Carl Crawford,transferred to 60-day DL with strained right oblique muscle
2015-06-01,Rangers,• Adrian Beltre,placed on 15-day DL with lacerated/sprained left thumb
2015-06-01,Rockies,• Jordan Lyles,placed on 15-day DL with sprained left big toe
2015-06-01,Astros,,activated from 15-day DL
2015-06-01,Brewers,,activated from 15-day DL
2015-06-01,Diamondbacks,,activated from 15-day DL
2015-06-01,White Sox,,activated from 15-day DL
2015-06-02,Dodgers,• Scott Van Slyke,placed on 15-day DL with sore back / left mid-back inflammation
2015-06-02,Athletics,,activated from 15-day DL
2015-06-02,Blue Jays,,activated from 15-day DL
2015-06-02,Mariners,,activated from 15-day DL
2015-06-02,Padres,,activated from 15-day DL
2015-06-03,Cubs,• Jorge Soler,placed on 15-day DL with left ankle injury
2015-06-03,Red Sox,• Brandon Workman,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-06-03,Reds,• Marlon Byrd,placed on 15-day DL with fractured right wrist
2015-06-03,Athletics,,activated from 15-day DL
2015-06-03,Mets,,activated from 15-day DL
2015-06-03,Twins,,activated from 15-day DL
2015-06-03,Yankees,,activated from 15-day DL
2015-06-04,Diamondbacks,• Archie Bradley,placed on 15-day DL with right shoulder tendinitis
2015-06-04,Rangers,• Josh Hamilton,placed on 15-day DL with strained left hamstring
2015-06-04,Twins,• Ricky Nolasco,placed on 15-day DL with right ankle impingement
2015-06-04,Nationals,,activated from 15-day DL
2015-06-04,Rangers,,activated from 15-day DL
2015-06-05,Athletics,• Covelli Crisp / Coco Crisp,transferred to 60-day DL with cervical strain
2015-06-05,Cardinals,• Matt Adams,transferred to 60-day DL with strained/torn right quadriceps
2015-06-05,Giants,• Jean Machi,placed on 15-day DL with strained left groin
2015-06-05,Mets,• Daniel Murphy,placed on 15-day DL with strained left quadriceps
2015-06-05,Reds,• Raisel Iglesias,placed on 15-day DL with strained left oblique (CBS) / right shoulder tendinitis (MLB)
2015-06-05,Braves,,activated from 15-day DL
2015-06-05,Cardinals,,activated from 60-day DL
2015-06-05,Marlins,,activated from 15-day DL
2015-06-05,Orioles,,activated from 60-day DL
2015-06-06,Nationals,• Craig Stammen,transferred to 60-day DL with torn flexor tendon in right forearm
2015-06-06,Diamondbacks,,activated from 15-day DL
2015-06-06,Dodgers,,activated from 15-day DL
2015-06-06,Rockies,,activated from 60-day DL
2015-06-07,Rangers,• Ross Ohlendorf,placed on 15-day DL with strained right groin
2015-06-07,White Sox,• Dan Jennings (Lee),placed on 15-day DL with neck inflammation
2015-06-07,Cubs,,activated from 15-day DL
2015-06-07,Diamondbacks,,activated from 15-day DL
2015-06-07,Mets,,activated from 15-day DL
2015-06-07,Orioles,,activated from 15-day DL
2015-06-08,Marlins,• Bryan Morris,placed on 15-day DL with strained lower back
2015-06-08,Rockies,• Rafael Betancourt,placed on 15-day DL with vertigo & sinus infection
2015-06-08,Padres,,activated from 15-day DL
2015-06-09,Cardinals,• Matt Holliday,placed on 15-day DL with strained right quadriceps
2015-06-09,Rays,• Jake Odorizzi,placed on 15-day DL with strained left oblique
2015-06-10,Giants,• Gregor Blanco,placed on 7-day DL with concussion
2015-06-10,Yankees,• Andrew Miller (Mark),placed on 15-day DL with right forearm injury / strained flexor muscle in left forearm (CBS MLB)
2015-06-10,Braves,,activated from 15-day DL
2015-06-10,Mets,,activated from 15-day DL
2015-06-10,Padres,,activated from 15-day DL
2015-06-10,Rays,,activated from 15-day DL
2015-06-10,Yankees,,activated from 60-day DL
2015-06-11,Nationals,• Nate McLouth,transferred to 60-day DL recovering from surgery on right shoulder to repair labrum
2015-06-11,Nationals,• Ryan Zimmerman (Wallace),placed on 15-day DL with plantar fasciitis in left foot
2015-06-11,Orioles,• Miguel Gonzalez (Angel),placed on 15-day DL with strained right groin
2015-06-11,Rays,• Andrew Bellatti,placed on 15-day DL with right shoulder tendinitis
2015-06-11,Reds,• Zack Cozart,placed on 15-day DL with surgery on right knee to repair torn ligaments
2015-06-11,Mets,,activated from 15-day DL
2015-06-11,Mets,,activated from 15-day DL
2015-06-11,Nationals,,activated from 15-day DL
2015-06-11,Rangers,,activated from 15-day DL
2015-06-11,Rockies,,activated from 15-day DL
2015-06-11,Rockies,,activated from 15-day DL
2015-06-11,Royals,,activated from 15-day DL
2015-06-12,Athletics,• Pat Venditte,placed on 15-day DL with strained right shoulder
2015-06-12,Cardinals,• Lance Lynn,placed on 15-day DL with strained right forearm
2015-06-12,Giants,• Hunter Pence,placed on 15-day DL with sore left wrist / left wrist tendinitis (MLB)
2015-06-12,Mets,• Erik Goeddel,placed on 15-day DL with strained right elbow
2015-06-12,Nationals,• Aaron Barrett,placed on 15-day DL with strained right biceps
2015-06-12,Nationals,,activated from 15-day DL
2015-06-12,Yankees,,activated from 15-day DL
2015-06-13,Athletics,• Sean Doolittle,transferred to 60-day DL with strained left shoulder
2015-06-13,Mets,• Jerry Blevins,transferred to 60-day DL with fractured left forearm
2015-06-13,Royals,• Jason Vargas,placed on 15-day DL with strained left flexor
2015-06-13,Athletics,,activated from 60-day DL
2015-06-13,Indians,,activated from 15-day DL
2015-06-13,Marlins,,activated from 15-day DL
2015-06-13,Red Sox,,activated from 15-day DL
2015-06-13,Tigers,,activated from 15-day DL
2015-06-14,Blue Jays,• Aaron Sanchez,placed on 15-day DL with strained right lat
2015-06-14,Indians,• Nick Swisher,placed on 15-day DL with left knee inflammation
2015-06-14,Twins,• Aaron Hicks,placed on 15-day DL with strained right forearm
2015-06-15,Padres,• Wil Myers,placed on 15-day DL with left wrist inflammation/tendinitis
2015-06-15,Rangers,• Delino DeShields Jr.,placed on 15-day DL with strained left hamstring
2015-06-15,Reds,• Tony Cingrani,placed on 15-day DL with strained left shoulder
2015-06-15,Tigers,,activated from 15-day DL
2015-06-16,Diamondbacks,• Ender Inciarte,placed on 15-day DL with strained right hamstring
2015-06-16,Orioles,• Jonathan Schoop,transferred to 60-day DL with torn ligament in right knee
2015-06-16,Reds,• Jon Moscot,placed on 15-day DL with dislocated left shoulder
2015-06-16,Reds,• Zack Cozart,transferred to 60-day DL with surgery on right knee to repair torn ligaments
2015-06-17,Cubs,• Zac Rosscup,placed on 15-day DL with left shoulder inflammation
2015-06-17,Dodgers,• (David) Chris Hatcher,placed on 15-day DL with strained left oblique
2015-06-17,Phillies,• Jerome Williams,placed on 15-day DL with strained left hamstring
2015-06-17,Rockies,• Corey Dickerson,placed on 15-day DL with plantar fasciitis in left foot
2015-06-17,Rockies,• Jordan Lyles,transferred to 60-day DL with sprained left big toe
2015-06-17,Dodgers,,activated from 15-day DL
2015-06-17,Giants,• Marco Scutaro,placed on 60-day DL with surgery on back
2015-06-17,Rangers,• Kyle Blanks,placed on 15-day DL with tendinitis in left and right Achilles
2015-06-18,Marlins,• Martin Prado,placed on 15-day DL with sprained right shoulder
2015-06-18,Red Sox,• Richard Hembree / Heath Hembree,placed on 15-day DL with sore right shoulder / right shoulder inflammation
2015-06-18,Rockies,• Brooks Brown,placed on 15-day DL with right shoulder inflammation
2015-06-18,Royals,• Yordano Ventura,placed on 15-day DL with inflammation of ulnar nerve in right forearm
2015-06-18,Nationals,,activated from 15-day DL
2015-06-18,Tigers,,activated from 15-day DL
2015-06-18,Twins,,activated from 15-day DL
2015-06-19,Astros,• Jake Marisnick,placed on 15-day DL with strained left hamstring
2015-06-19,Yankees,• Sergio Santos,placed on 15-day DL with right elbow inflammation (surgery) (out for season)
2015-06-19,Athletics,,activated from 15-day DL
2015-06-19,Athletics,,activated from 15-day DL
2015-06-19,Giants,,activated from 7-day DL
2015-06-19,Rangers,,activated from 60-day DL
2015-06-19,Reds,,activated from 15-day DL
2015-06-19,Rockies,,activated from 15-day DL
2015-06-20,Orioles,• Jason Garcia,transferred to 60-day DL with right shoulder tendinitis
2015-06-20,Orioles,,activated from 15-day DL
2015-06-21,Angels,• Jered Weaver,placed on 15-day DL with left hip inflammation
2015-06-21,Yankees,• Mason Williams,placed on 15-day DL with right shoulder inflammation
2015-06-21,Yankees,• Sergio Santos,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow (out for season)"
2015-06-22,Diamondbacks,,activated from 15-day DL
2015-06-22,Dodgers,,activated from 15-day DL
2015-06-23,Braves,• Freddie Freeman,placed on 15-day DL with bruised right wrist
2015-06-23,Mets,• Travis d'Arnaud,placed on 15-day DL with hyperextended left elbow
2015-06-23,Phillies,• Chase Utley,placed on 15-day DL with right ankle inflammation
2015-06-23,Giants,,activated from 15-day DL
2015-06-23,Nationals,,activated from 15-day DL
2015-06-23,Rangers,,activated from 15-day DL
2015-06-23,Red Sox,,activated from 15-day DL
2015-06-24,Giants,• Norichika Aoki / Nori Aoki,placed on 15-day DL with fractured right fibula
2015-06-24,Padres,• Brandon Morrow,transferred to 60-day DL with right shoulder inflammation
2015-06-24,Padres,• Dale Thayer,placed on 15-day DL with strained rotator cuff in right shoulder
2015-06-24,Pirates,• Corey Hart,placed on 15-day DL with left shoulder impingement
2015-06-24,Yankees,• Brendan Ryan,placed on 15-day DL with strained upper back
2015-06-24,Royals,,activated from 15-day DL
2015-06-24,Yankees,,activated from 60-day DL
2015-06-25,Red Sox,• Dustin Pedroia,placed on 15-day DL with strained right hamstring
2015-06-25,Cardinals,,activated from 15-day DL
2015-06-25,Marlins,,activated from 15-day DL
2015-06-25,Orioles,,activated from 15-day DL
2015-06-25,Tigers,,activated from 15-day DL (E)
2015-06-26,Astros,• Chad Qualls,placed on 15-day DL with pinched nerve in neck
2015-06-26,Braves,• Brandon Cunniff,placed on 15-day DL with strained right groin
2015-06-26,Giants,• Jeremy Affeldt,placed on 15-day DL with strained left shoulder
2015-06-26,Nationals,• Anthony Rendon,placed on 15-day DL with strained left quadriceps
2015-06-26,Nationals,• Reed Johnson,transferred to 60-day DL with torn tendon in left calf
2015-06-26,Pirates,• Andrew Lambo,transferred to 60-day DL with plantar fasciitis in left foot
2015-06-26,Pirates,• Rob Scahill,placed on 15-day DL with tightness in right forearm
2015-06-26,Twins,• Byron Buxton,placed on 15-day DL with sprained left thumb
2015-06-26,Blue Jays,,activated from 15-day DL
2015-06-26,Dodgers,,activated from 15-day DL
2015-06-26,Rays,,activated from 15-day DL
2015-06-26,Rockies,,activated from 15-day DL
2015-06-27,Braves,• Williams Perez,placed on 15-day DL with bruised left foot
2015-06-27,Marlins,• Giancarlo Stanton / Mike Stanton (c),placed on 15-day DL with fractured left hand (out for season)
2015-06-28,Cubs,• Tsuyoshi Wada,placed on 15-day DL with left shoulder injury
2015-06-28,Rays,• Desmond Jennings,transferred to 60-day DL with surgery on left knee
2015-06-28,Reds,• Jon Moscot,transferred to 60-day DL with surgery to repair dislocated left shoulder
2015-06-28,Yankees,• Zachary Heathcott / Slade Heathcott,transferred to 60-day DL with strained right quadriceps
2015-06-28,Cubs,,activated from 15-day DL
2015-06-28,Marlins,,activated from 15-day DL
2015-06-28,Reds,,activated from 60-day DL
2015-06-30,Cardinals,• Jordan Walden,transferred to 60-day DL with right biceps inflammation
2015-06-30,Cardinals,• Matt Belisle,placed on 15-day DL with right elbow inflammation
2015-06-30,Padres,• Cory Spangenberg,placed on 15-day DL with bruised left knee
2015-06-30,Rockies,• Christian Bergman,placed on 15-day DL with right shoulder fatigue/inflammation
2015-06-30,Mets,,activated from 15-day DL
2015-06-30,Rangers,,activated from 15-day DL
2015-07-01,Angels,,activated from 15-day DL
2015-07-01,Blue Jays,,activated from 15-day DL
2015-07-01,White Sox,,activated from 15-day DL
2015-07-02,Astros,• Brad Peacock,transferred to 60-day DL with strained left intercostal
2015-07-02,Astros,• George Springer,placed on 15-day DL with fractured right wrist
2015-07-02,Cardinals,• Jon Jay,placed on 15-day DL with bone bruise in left wrist
2015-07-02,Giants,• Tim Lincecum,placed on 15-day DL with bruised right forearm
2015-07-02,Phillies,• Aaron Harang,placed on 15-day DL with plantar fasciitis in left foot
2015-07-02,Mariners,,activated from restricted list
2015-07-02,Dodgers,,activated from 60-day DL
2015-07-02,Giants,,activated from 15-day DL
2015-07-02,Marlins,,activated from 60-day DL
2015-07-02,Phillies,,activated from 15-day DL
2015-07-02,Rangers,,activated from 15-day DL
2015-07-02,Rangers,,activated from 15-day DL
2015-07-02,Rays,,activated from 60-day DL
2015-07-02,Red Sox,,activated from 60-day DL
2015-07-03,Angels,• Collin Cowgill,transferred to 60-day DL with sprained right wrist
2015-07-03,Giants,• Tim Hudson,placed on 15-day DL with strained right shoulder
2015-07-03,Red Sox,• Blake Swihart,placed on 15-day DL with sprained left foot
2015-07-03,Yankees,• Carlos Beltran,placed on 15-day DL with strained left oblique muscle
2015-07-03,Angels,,activated from 60-day DL
2015-07-03,Giants,,activated from 15-day DL
2015-07-03,Rangers,,activated from 60-day DL
2015-07-03,Rays,,activated from 15-day DL
2015-07-03,Red Sox,,activated from 15-day DL
2015-07-03,Tigers,,activated from 15-day DL
2015-07-03,Twins,,activated from 15-day DL
2015-07-04,Cubs,• David Ross (Wade),placed on 7-day DL with concussion
2015-07-04,Cubs,• Tommy La Stella / Tommy LaStella,transferred to 60-day DL with strained right oblique / right rib cage inflammation
2015-07-04,Diamondbacks,• James Gosewisch / Tuffy Gosewisch,transferred to 60-day DL recovering from surgery on left knee to repair torn ACL
2015-07-04,Tigers,• (Jose) Miguel Cabrera,placed on 15-day DL with strained left calf
2015-07-04,Astros,,activated from 15-day DL
2015-07-04,Diamondbacks,,activated from 60-day DL
2015-07-04,Diamondbacks,,activated from 60-day DL
2015-07-04,Mariners,,activated from restricted list
2015-07-04,Orioles,,activated from 60-day DL
2015-07-04,Twins,,activated from restricted list
2015-07-05,Braves,,activated from restricted list
2015-07-05,Cardinals,• Jaime Garcia (Omar),placed on 15-day DL with strained left groin
2015-07-05,Dodgers,• Carlos Frias,placed on 15-day DL with tightness in lower back
2015-07-05,Nationals,• Stephen Strasburg,placed on 15-day DL with strained left oblique
2015-07-05,Cubs,,activated from 15-day DL
2015-07-05,Marlins,,activated from 15-day DL
2015-07-05,Rangers,,activated from 15-day DL
2015-07-06,Brewers,• Matt Garza,placed on 15-day DL with right shoulder tendinitis
2015-07-06,Dodgers,• Steven Rodriguez (F.) / Paco Rodriguez,transferred to 60-day DL with strained left elbow
2015-07-06,Pirates,• Josh Harrison,placed on 15-day DL with torn ligaments in left thumb
2015-07-06,Twins,• Ryan Pressly,placed on 15-day DL with strained right lat muscle
2015-07-06,Mariners,,activated from 15-day DL
2015-07-07,Mets,• Buddy Carlyle,transferred to 60-day DL with strained lower back / back spasms
2015-07-07,Rays,• Steven Souza Jr.,placed on 15-day DL with lacerated right pinkie finger
2015-07-07,Rockies,• Justin Morneau,transferred to 60-day DL with concussion and cervical strain
2015-07-07,Twins,• Ricky Nolasco,transferred to 60-day DL with right ankle impingement
2015-07-07,Mets,,activated from restricted list
2015-07-07,Brewers,,activated from 15-day DL
2015-07-07,Giants,,activated from 15-day DL
2015-07-07,Rays,,activated from 15-day DL
2015-07-07,Rays,,activated from 60-day DL
2015-07-07,Yankees,,activated from 15-day DL
2015-07-08,Indians,• Nick Hagadone,placed on 15-day DL with strained lower back
2015-07-08,Padres,,activated from 15-day DL
2015-07-08,Rays,,activated from 15-day DL
2015-07-08,Yankees,,activated from 15-day DL
2015-07-09,Mariners,• Charlie Furbush,placed on 15-day DL with left biceps tendinitis
2015-07-09,Royals,• Alex Gordon,placed on 15-day DL with strained left groin
2015-07-09,Royals,,activated from 15-day DL
2015-07-10,Marlins,• Jeff Baker (Glen),placed on 15-day DL with strained left intercostal (CBS MLB) / oblique muscle
2015-07-10,Mets,• Steven Matz,placed on 15-day DL with torn left lat muscle
2015-07-10,Nationals,• Denard Span,placed on 15-day DL with back spasms/tightness
2015-07-10,Rockies,• David Hale,placed on 15-day DL with strained left groin
2015-07-10,Astros,,activated from 15-day DL
2015-07-10,Cubs,,activated from 60-day DL
2015-07-10,Nationals,,activated from 15-day DL
2015-07-10,Rockies,• Tyler Anderson (John),placed on 60-day DL stress fracture in left elbow
2015-07-11,Athletics,• Jesse Hahn,placed on 15-day DL with strained right forearm
2015-07-11,Cardinals,• Mitch Harris,placed on 15-day DL with strained groin
2015-07-11,Red Sox,• Clay Buchholz,placed on 15-day DL with strained flexor in right elbow
2015-07-11,Yankees,• Mason Williams,transferred to 60-day DL with right shoulder inflammation
2015-07-11,Dodgers,,activated from 60-day DL
2015-07-11,Rays,,activated from 15-day DL
2015-07-11,Reds,,activated from 15-day DL
2015-07-12,Rays,• Asdrubal Cabrera,placed on 15-day DL with strained right hamstring
2015-07-12,Cubs,,activated from 7-day DL
2015-07-13,Braves,• Jason Grilli,placed on 60-day DL with left Achilles injury
2015-07-13,Rangers,,activated from 60-day DL
2015-07-14,Orioles,,activated from 60-day DL
2015-07-16,Braves,• Jason Grilli,placed on 15-day DL (CBS E)
2015-07-16,Cubs,• Miguel Montero (Angel) (b. 1983-07-09),placed on 15-day DL with sprained left thumb
2015-07-16,Diamondbacks,• Jarrod Saltalamacchia,placed on 15-day DL with strained neck
2015-07-16,Marlins,• Dee Strange-Gordon / Dee Gordon,placed on 15-day DL with dislocated left thumb
2015-07-16,Nationals,• (Darrell) David Carpenter,placed on 15-day DL with right shoulder inflammation
2015-07-16,Rangers,• Carlos Corporán,placed on 15-day DL with sprained left thumb
2015-07-16,Cardinals,,activated from 15-day DL
2015-07-16,Marlins,,activated from 15-day DL
2015-07-16,Red Sox,,activated from 15-day DL
2015-07-16,Yankees,,activated from 15-day DL
2015-07-17,Braves,• Jason Grilli,placed on 60-day DL with torn left Achilles tendon (CBC MLB SN)
2015-07-17,Diamondbacks,,activated from 15-day DL
2015-07-17,Rangers,,activated from 60-day DL
2015-07-18,Astros,,activated from 15-day DL
2015-07-19,Diamondbacks,• Robert Anderson / Chase Anderson,placed on 15-day DL with right triceps inflammation
2015-07-19,Giants,• Andrew Susac,placed on 15-day DL with sprained right thumb
2015-07-19,Pirates,• Gorkys Hernandez,placed on 15-day DL with discomfort in left shoulder
2015-07-19,Rockies,• Chad Bettis,placed on 15-day DL with right elbow / shoulder inflammation
2015-07-19,White Sox,,activated from 15-day DL
2015-07-19,Yankees,,activated from 15-day DL
2015-07-20,Dodgers,• A.J. Ellis,placed on 15-day DL with right knee inflammation
2015-07-20,Nationals,• Jayson Werth,transferred to 60-day DL with fractured left wrist
2015-07-20,Phillies,• Chad Billingsley,placed on 15-day DL with strained flexor in right elbow
2015-07-20,Pirates,• Corey Hart,transferred to 60-day DL with left shoulder impingement
2015-07-20,Pirates,• Jordy Mercer,placed on 15-day DL with left knee injury / bruised lower left leg (CBS) / sprained MCL in left knee (MLB)
2015-07-20,Reds,• Devin Mesoraco,transferred to 60-day DL with surgery on left hip
2015-07-20,Reds,• Manuel Parra / Manny Parra,placed on 15-day DL with strained left elbow
2015-07-20,Braves,,activated from 15-day DL
2015-07-20,Giants,,activated from 15-day DL
2015-07-20,Phillies,,activated from 15-day DL
2015-07-20,Red Sox,,activated from 15-day DL
2015-07-20,Royals,,activated from 60-day DL
2015-07-21,Brewers,,activated from 15-day DL
2015-07-21,Dodgers,,activated from 60-day DL
2015-07-21,Rays,,activated from 15-day DL
2015-07-21,Red Sox,,activated from 15-day DL
2015-07-21,Royals,,activated from 15-day DL
2015-07-22,Orioles,• Steve Pearce,placed on 15-day DL with strained left oblique
2015-07-22,Royals,• Jason Vargas,placed on 15-day DL with torn UCL in left elbow
2015-07-22,Giants,,activated from 15-day DL
2015-07-22,Reds,,activated from 15-day DL
2015-07-23,Angels,• David Freese,placed on 15-day DL with fractured right index finger
2015-07-23,Diamondbacks,• Phil Gosselin,transferred to 60-day DL with fractured left thumb
2015-07-24,Cardinals,• Matt Belisle,transferred to 60-day DL with right elbow inflammation
2015-07-24,Mets,• David Wright (Allen),transferred to 60-day DL with spinal stenosis
2015-07-24,Mets,• Michael Cuddyer,placed on 15-day DL with bone bruise in left knee
2015-07-24,Mets,• Rafael Montero,transferred to 60-day DL with right rotator cuff inflammation
2015-07-24,Rockies,,activated from 15-day DL
2015-07-25,Red Sox,• Dustin Pedroia,placed on 15-day DL with strained right hamstring
2015-07-25,Blue Jays,,activated from 15-day DL
2015-07-25,Braves,,activated from 15-day DL
2015-07-25,Nationals,,activated from 15-day DL
2015-07-25,Pirates,,activated from 60-day DL
2015-07-25,Red Sox,,activated from 15-day DL
2015-07-27,Mets,• Erik Goeddel,transferred to 60-day DL with strained right elbow
2015-07-27,Cardinals,,activated from 15-day DL
2015-07-27,Diamondbacks,,activated from 15-day DL
2015-07-27,Giants,,activated from 15-day DL
2015-07-27,Rangers,,activated from 15-day DL
2015-07-28,Angels,• Matt Joyce,placed on 7-day DL with concussion
2015-07-28,Braves,• Manny Banuelos,placed on 15-day DL with left elbow inflammation
2015-07-28,Indians,• Nick Hagadone,transferred to 60-day DL with strained lower back / recovering from surgery on left elbow (MLB)
2015-07-28,Red Sox,• Clay Buchholz,transferred to 60-day DL with strained flexor in right elbow
2015-07-28,Brewers,,activated from 15-day DL
2015-07-28,Cardinals,,activated from 15-day DL
2015-07-28,Marlins,,activated from 15-day DL
2015-07-28,Mets,• Jenrry Mejia,placed on restricted list with suspension
2015-07-28,Nationals,,activated from 60-day DL
2015-07-28,Nationals,,activated from 15-day DL
2015-07-28,Rays,,activated from 15-day DL
2015-07-29,Cubs,• Neil Ramirez,placed on 15-day DL with sore left abdominal
2015-07-29,Diamondbacks,• Randall Delgado,placed on 15-day DL with sprained right ankle
2015-07-29,Red Sox,• Markus Betts / Mookie Betts,placed on 7-day DL with concussion
2015-07-29,White Sox,• Emilio Bonifacio,placed on 15-day DL with strained left oblique
2015-07-30,Cardinals,• Matt Holliday,placed on 15-day DL with strained right quadriceps
2015-07-30,Dodgers,• (David) Chris Hatcher,transferred to 60-day DL with strained left oblique
2015-07-30,Reds,• Nathan Adcock / Nate Adcock,placed on 15-day DL with surgery on right elbow
2015-07-30,Tigers,• Kyle Lobstein,transferred to 60-day DL with left shoulder inflammation / sore left shoulder (MLB SN)
2015-07-30,Yankees,• Michael Pineda,placed on 15-day DL with strained right forearm
2015-07-30,Astros,,activated from 60-day DL
2015-07-30,Mets,,activated from 15-day DL
2015-07-30,Phillies,,activated from 15-day DL
2015-07-30,Pirates,,activated from 15-day DL
2015-07-30,Dodgers,• Bronson Arroyo,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2015-07-31,Angels,• C.J. Wilson,placed on 15-day DL with left elbow inflammation
2015-07-31,Blue Jays,• Devon Travis,placed on 15-day DL with strained left shoulder
2015-07-31,Dodgers,• Justin Turner (Matthew),placed on 15-day DL with skin infection in right thigh
2015-07-31,Giants,• Tim Hudson,placed on 15-day DL with strained right shoulder
2015-07-31,Pirates,• A.J. Burnett,placed on 15-day DL with right elbow inflammation
2015-07-31,Braves,,activated from 15-day DL
2015-07-31,Indians,,activated from 60-day DL
2015-07-31,Marlins,,activated from 15-day DL
2015-07-31,Yankees,,activated from 60-day DL
2015-07-31,Phillies,• Matt Harrison (Reid),placed on 15-day DL with back injury
2015-08-01,Orioles,• Mike Wright Jr.,placed on 15-day DL with strained left calf
2015-08-01,Rangers,• Robinson Chirinos,placed on 15-day DL with strained left shoulder
2015-08-01,Rays,• Steven Souza Jr.,placed on 15-day DL with fractured left hand
2015-08-01,Rockies,• Corey Dickerson,placed on 15-day DL with fractured rib
2015-08-01,Rockies,• Kyle Kendrick,placed on 15-day DL with right shoulder inflammation
2015-08-01,White Sox,• J.B. Shuck,placed on 15-day DL with strained left hamstring
2015-08-01,Padres,,activated from 60-day DL
2015-08-01,Rockies,,activated from 15-day DL
2015-08-02,Mets,• Kirk Nieuwenhuis,placed on 15-day DL with pinched nerve in upper back
2015-08-02,Rangers,• Tanner Scheppers,placed on 15-day DL with left knee inflammation
2015-08-02,Red Sox,• Rick Porcello,placed on 15-day DL with strained right quadriceps / triceps (MLB S)
2015-08-02,Twins,• Ryan Pressly,transferred to 60-day DL with strained right lat muscle
2015-08-02,Twins,• Tommy Milone,placed on 15-day DL with strained left elbow
2015-08-02,Yankees,• Diego Moreno,placed on 15-day DL with right elbow inflammation
2015-08-02,Athletics,,activated from 15-day DL
2015-08-02,Dodgers,,activated from 15-day DL
2015-08-03,Giants,• Joe Panik,placed on 15-day DL with lower back inflammation/pain
2015-08-03,Indians,• Jason Kipnis,placed on 15-day DL with right shoulder inflammation / soreness
2015-08-03,Marlins,• Carter Capps,placed on 15-day DL with strained right elbow (out for season)
2015-08-03,Athletics,,activated from 60-day DL
2015-08-04,Braves,• Freddie Freeman,placed on 15-day DL with strained right oblique muscle
2015-08-04,Braves,• Jason Frasor,placed on 15-day DL with strained right shoulder
2015-08-04,Yankees,• Dustin Ackley,placed on 15-day DL with strained right lumbar
2015-08-04,Braves,,activated from 60-day DL
2015-08-04,Cubs,,activated from 15-day DL
2015-08-04,Dodgers,,activated from 15-day DL
2015-08-04,Reds,,activated from 15-day DL
2015-08-05,Cubs,• Rafael Soriano,placed on 15-day DL with right shoulder inflammation
2015-08-05,White Sox,• Daniel Webb,placed on 15-day DL with strained right mid-back
2015-08-05,Braves,,activated from restricted list
2015-08-05,White Sox,,activated from 60-day DL
2015-08-06,Nationals,• Aaron Barrett,placed on 15-day DL with sprained right elbow
2015-08-06,Orioles,,activated from 60-day DL
2015-08-06,Phillies,,activated from 15-day DL
2015-08-07,Astros,• Samuel Deduno / Sam Deduno,transferred to 60-day DL with strained lower back
2015-08-07,Giants,• Mike Leake,placed on 15-day DL with strained left hamstring
2015-08-07,Marlins,• Andre Rienzo,placed on 15-day DL with left knee laceration
2015-08-07,Marlins,• Jose Urena (Miguel),placed on 15-day DL with bruised left knee
2015-08-07,Rangers,• Kyle Blanks,transferred to 60-day DL with tendinitis in left and right Achilles (out for season)
2015-08-07,Cubs,,activated from 15-day DL
2015-08-07,Diamondbacks,,activated from 15-day DL
2015-08-07,Indians,,activated from 15-day DL
2015-08-07,Pirates,• Deolis Guerra,placed on 15-day DL with left (MLB) / right knee inflammation
2015-08-08,Indians,• Cody Anderson,placed on 15-day DL with strained left oblique muscle
2015-08-08,Nationals,• Dan Uggla,placed on 15-day DL with back spasms
2015-08-08,Padres,• Marcos Mateo,placed on 15-day DL with strained neck
2015-08-08,Padres,• Wil Myers,transferred to 60-day DL with left wrist inflammation/tendinitis / bone spurs in left wrist (CBS S)
2015-08-08,Nationals,• Aaron Barrett,placed on 15-day DL with sprained right elbow
2015-08-08,Nationals,,activated from 15-day DL
2015-08-09,Angels,,activated from 15-day DL
2015-08-09,Athletics,,activated from 60-day DL
2015-08-10,Angels,• Matt Joyce,transferred to 15-day DL with concussion
2015-08-10,Dodgers,• Howie Kendrick,placed on 15-day DL with strained left hamstring
2015-08-10,Orioles,• Chaz Roe,placed on 15-day DL with right shoulder tendinitis
2015-08-10,Red Sox,• Koji Uehara,placed on 15-day DL with fractured right wrist
2015-08-10,Mets,,activated from 15-day DL
2015-08-10,Twins,,activated from 15-day DL
2015-08-11,Dodgers,• Carlos Frias,placed on 15-day DL
2015-08-11,Dodgers,• Joel Peralta,placed on 15-day DL with sprained neck
2015-08-11,Giants,• Angel Pagan,placed on 15-day DL with patella tendinitis in right knee
2015-08-11,Marlins,• Jose Fernandez (D.),placed on 15-day DL with strained right biceps
2015-08-11,Padres,• Brandon Maurer,placed on 15-day DL with right shoulder inflammation (out for season)
2015-08-11,Cubs,,activated from 60-day DL
2015-08-11,Red Sox,,activated from 7-day DL
